Primarily applies to the private sector,BERT_topic0,BERT_topic1,BERT_topic2,BERT_topic3,BERT_topic4,BERT_topic5,BERT_topic6,BERT_topic7,Authority_blue_state,Authority_federal_legislative,Authority_purple_state,Authority_red_state,enacted_binary,months_after_2019_02_11
0,0.1752586003836322,0.0539568100981161,0.0963872174647992,0.0506674213962379,0.0905898747906872,0.1300752805961136,0.0732718647585908,0.1483567470447286,1,0,0,0,1,63
0,2.9601660084917373e-308,1.960747569487133e-308,2.0402807291827456e-308,9.521487000550087e-309,1.478663810536803e-308,1.0,1.377200631830697e-308,3.839560694780779e-308,0,1,0,0,0,63
0,3.4086212201898667e-308,1.386215588269369e-308,1.362057879667628e-308,1.3677743028105084e-308,2.9742210902889687e-308,2.538972117836593e-308,2.005729103240019e-308,1.0,0,1,0,0,0,61
0,0.0289593232159709,0.0252855991077888,0.021399937912914,0.3325691647801727,0.070289351614284,0.0285238734228812,0.0367572293147957,0.0464286960504334,0,1,0,0,0,61
0,0.1537436292940492,0.0519575300421292,0.1058234624051099,0.0444342721454464,0.0784117457540764,0.157880301094147,0.0692865262361574,0.1426833763766027,0,1,0,0,0,66
1,0.0478629781224635,0.0370773588382982,0.0348319034426216,0.4473761570668702,0.1337589579400511,0.0443392798705401,0.0673927527782403,0.0777159052144902,0,1,0,0,0,60
0,0.039258033499013,0.0241906920616182,0.0284440873854132,0.0556586501222895,0.4864647836527134,0.035224936973291,0.0736714449277376,0.0762322665758428,0,0,0,0,1,44
0,0.0409176925142605,0.0309385255016197,0.0299996643620901,0.2329899824903834,0.1125778108038644,0.0373582975846904,0.057271366863716,0.0651921579654259,0,0,0,1,1,60
0,0.0180753045443544,0.0106859927995398,0.0127950690532996,0.015953154296696,0.0311503882983509,0.0150721471228409,0.8114940018507886,0.0246444855602284,1,0,0,0,1,68
0,2.470444134015074e-308,1.16642501672409e-308,1.260626001368693e-308,1.485485146665237e-308,3.2233451284151423e-308,2.0296207841202305e-308,1.947094950031019e-308,1.0,0,0,0,1,1,64
0,1.3822840261204787e-308,8.82923348648248e-309,9.795193885461457e-309,2.2601354517100725e-308,1.0,1.2449516709475775e-308,2.163090415343251e-308,2.8403220548779596e-308,1,0,0,0,1,64
0,8.174745675862545e-309,7.089950573304636e-309,6.154719202735166e-309,1.0,1.8036336366018205e-308,7.94088173137576e-309,1.053808924129336e-308,1.2401483651807336e-308,0,0,0,1,1,68
0,1.3978913124059398e-308,8.874971889786785e-309,9.671406165687727e-309,2.3688043316409575e-308,1.0,1.2547865088310815e-308,2.054036808308248e-308,3.07520223639248e-308,0,0,1,0,1,65
0,0.0371127932448551,0.0219337183688785,0.0237478186583002,0.0463079168864126,0.6250189867692276,0.0321422892048318,0.0513084831417004,0.0996703359275845,1,0,0,0,1,52
0,8.656460176375413e-309,7.245903165660197e-309,6.44905441960711e-309,1.0,2.1403209021778876e-308,8.3216296420177e-309,1.1424993809592214e-308,1.3652661086065753e-308,0,0,1,0,1,64
0,8.43738765903402e-309,7.17645649450104e-309,6.26118902274342e-309,1.0,1.9289138270443437e-308,8.111497592621766e-309,1.1096077493593634e-308,1.299152475883533e-308,0,0,0,1,1,62
0,0.0197244719722079,0.0167611559627731,0.0149162934941713,0.7489093334013612,0.0440712052190522,0.018958135452651,0.0259794177696905,0.0296915004450862,1,0,0,0,1,62
0,0.4430461620532092,0.0328610837195253,0.0575815436624988,0.0247777779527821,0.0396155912055797,0.0747322409112378,0.0372000229056537,0.0873669622091112,0,1,0,0,0,68
0,0.0408758233009833,0.0298875038155332,0.0293863732711809,0.1761565049232332,0.1391276161600524,0.0371257306755146,0.0594598135202044,0.0697995889115692,1,0,0,0,1,68
0,0.0242893083661112,0.0197500876250158,0.018048504570455,0.6608715195853123,0.0601657236846898,0.0228959952560901,0.0324011727828234,0.0378250019255341,0,0,1,0,1,66
0,8.519346874089906e-309,7.276210890956294e-309,6.342476056721403e-309,1.0,1.986931331049072e-308,8.226627013379565e-309,1.106092942106232e-308,1.3221584461838356e-308,1,0,0,0,1,65
0,8.274165784509034e-309,6.97377245163892e-309,6.20599643603264e-309,1.0,1.925777693462873e-308,7.94288098454961e-309,1.082291164325826e-308,1.2716091645020913e-308,0,0,1,0,1,66
0,3.832247550254465e-308,1.67416566551091e-308,1.408366005942542e-308,1.243865880379343e-308,2.3774112013026623e-308,3.135935217570679e-308,1.735736150070821e-308,1.0,0,1,0,0,0,70
